KEY = 000102030405060708090a0b0c0d0e0f
PT = 0123456789abcdef
Initial  = 0123456889a9cdf2
Round 01 = 23e16815a93af283
Round 02 = e11815383ace83de
Round 03 = 186638cdce4ede4d
Round 04 = 66d3cd794e624d8a
Round 05 = d3ee79f8624d8a3e
Round 06 = eeaef8e44d763ee5
Round 07 = ae21e4317684e5c0
Round 08 = 218b31cc845fc020
Round 09 = 8bedcc255f2f2034
Round 10 = edea259c2f1d347f
Round 11 = ea609c3b1d2e7f8b
Round 12 = 60753b712ee88b1a
Round 13 = 75327140e84a1acb
Round 14 = 32b940224a63cb9c
Round 15 = b93e224f63e79c80
Round 16 = 3e4f4f63e7b780ad
Round 17 = 4f316376b71aad6d
Round 18 = 312f76671a416d89
Round 19 = 2f4a67b241a489a5
Round 20 = 4ac1b2d7a491a5d2
Round 21 = c102d7549118d291
Round 22 = 02905477186091f9
Round 23 = 90987783600ef997
Round 24 = 980e83240e0d97da
Round 25 = 0ec824f30d84daa7
Round 26 = c871f3688496a7eb
Round 27 = 71bf68e49605eb61
Round 28 = bfb0e42805eb61dd
Round 29 = b0d028c9eb97ddad
Round 30 = d021c90d9769adb1
Round 31 = 21630d95692db157
Round 32 = 7a63b2958d2df457
CT = 7a6fb2a28d23f466
